incident_id,trip_id,truck_id,driver_id,incident_date,incident_type,location_city,location_state,at_fault_flag,injury_flag,vehicle_damage_cost,cargo_damage_cost,claim_amount,preventable_flag,description
INC00000001,TRIP00036079,TRK00006,DRV00006,"2023-04-09 14:00:00","Moving Violation",Columbus,PA,True,False,12629.26,0,12629.26,True,"Severe incident involving equipment"
INC00000002,TRIP00032462,TRK00084,DRV00006,"2023-02-19 11:00:00","Moving Violation",Columbus,NC,False,False,2700.7,14284.24,16984.94,False,"Severe incident involving weather"
INC00000003,TRIP00067583,TRK00106,DRV00119,"2024-05-20 01:00:00","Customer Complaint",Seattle,OK,True,False,24302.32,0,24302.32,True,"Minor incident involving traffic"
INC00000004,TRIP00049128,TRK00085,DRV00134,"2023-09-26 03:00:00","Equipment Damage","Kansas City",TN,True,False,4879.13,0,4879.13,True,"Moderate incident involving equipment"
INC00000005,TRIP00062884,TRK00014,DRV00133,"2024-03-20 14:00:00","DOT Violation","Las Vegas",IN,False,False,14951.4,0,14951.4,False,"Minor incident involving other driver"
INC00000006,TRIP00004361,TRK00007,DRV00005,"2022-02-27 18:00:00","Equipment Damage","Oklahoma City",CO,False,True,0,0,0,False,"Minor incident involving weather"
INC00000007,TRIP00012773,TRK00007,DRV00109,"2022-06-13 02:00:00","DOT Violation",Portland,TX,True,False,12589.05,28315.16,40904.21,True,"Moderate incident involving traffic"
INC00000008,TRIP00072329,TRK00115,DRV00060,"2024-07-17 20:00:00",Accident,Phoenix,TX,False,False,15572.01,0,15572.01,False,"Moderate incident involving equipment"
INC00000009,TRIP00043143,TRK00107,DRV00003,"2023-07-08 02:00:00","Customer Complaint","Oklahoma City",TX,False,True,22283.17,379.1,22662.27,False,"Moderate incident involving traffic"
INC00000010,TRIP00068700,TRK00074,DRV00132,"2024-06-03 04:00:00","Equipment Damage",Detroit,PA,False,False,0,33901.9,33901.9,False,"Severe incident involving equipment"
INC00000011,TRIP00022792,TRK00007,DRV00041,"2022-10-18 02:00:00","Equipment Damage",Milwaukee,NE,True,False,18252.77,0,18252.77,True,"Severe incident involving weather"
